REF_DATE,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-02,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.4,,,,1
2019-03,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,98.8,,,,1
2019-04,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,98.6,,,,1
2019-05,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,98.9,,,,1
2019-06,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,98.7,,,,1
2019-07,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.7,,,,1
2019-08,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.7,,,,1
2019-09,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.5,,,,1
2019-10,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.5,,,,1
2019-11,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.4,,,,1
2019-12,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,96.8,,,,1
2020-01,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,100,,,,1
2020-02,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.8,,,,1
2020-03,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,95.5,,,,1
2020-04,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,94.3,,,,1
2020-05,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,94.3,,,,1
2020-06,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,93.9,,,,1
2020-07,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,97.5,,,,1
2020-08,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,100.3,,,,1
2020-09,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,101.8,,,,1
2020-10,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,102.4,,,,1
2020-11,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,104.6,,,,1
2020-12,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,115.1,,,,1
2021-01,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,116.3,,,,1
2021-02,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,118.4,,,,1
2021-03,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,127.3,,,,1
2021-04,Canada,2021A000011124,Communication and electric wire and cable [38121],"Index, 202001=100",403,units,0,v1230996290,1.284,137.1,,,,1
